C27001A_001E,GEO_ID,NAME
29134,31001,"Adams County, Nebraska"
6105,31003,"Antelope County, Nebraska"
411,31005,"Arthur County, Nebraska"
693,31007,"Banner County, Nebraska"
477,31009,"Blaine County, Nebraska"
5098,31011,"Boone County, Nebraska"
9998,31013,"Box Butte County, Nebraska"
1827,31015,"Boyd County, Nebraska"
2894,31017,"Brown County, Nebraska"
44677,31019,"Buffalo County, Nebraska"
6085,31021,"Burt County, Nebraska"
7583,31023,"Butler County, Nebraska"
24459,31025,"Cass County, Nebraska"
8134,31027,"Cedar County, Nebraska"
3691,31029,"Chase County, Nebraska"
5122,31031,"Cherry County, Nebraska"
9018,31033,"Cheyenne County, Nebraska"
5903,31035,"Clay County, Nebraska"
9390,31037,"Colfax County, Nebraska"
8280,31039,"Cuming County, Nebraska"
10367,31041,"Custer County, Nebraska"
13718,31043,"Dakota County, Nebraska"
7878,31045,"Dawes County, Nebraska"
20513,31047,"Dawson County, Nebraska"
1733,31049,"Deuel County, Nebraska"
5252,31051,"Dixon County, Nebraska"
34173,31053,"Dodge County, Nebraska"
439114,31055,"Douglas County, Nebraska"
1868,31057,"Dundy County, Nebraska"
5201,31059,"Fillmore County, Nebraska"
2863,31061,"Franklin County, Nebraska"
2559,31063,"Frontier County, Nebraska"
4519,31065,"Furnas County, Nebraska"
20541,31067,"Gage County, Nebraska"
1785,31069,"Garden County, Nebraska"
1903,31071,"Garfield County, Nebraska"
1928,31073,"Gosper County, Nebraska"
700,31075,"Grant County, Nebraska"
2296,31077,"Greeley County, Nebraska"
50736,31079,"Hall County, Nebraska"
8740,31081,"Hamilton County, Nebraska"
3246,31083,"Harlan County, Nebraska"
878,31085,"Hayes County, Nebraska"
2768,31087,"Hitchcock County, Nebraska"
9774,31089,"Holt County, Nebraska"
651,31091,"Hooker County, Nebraska"
6196,31093,"Howard County, Nebraska"
6826,31095,"Jefferson County, Nebraska"
3848,31097,"Johnson County, Nebraska"
6255,31099,"Kearney County, Nebraska"
7694,31101,"Keith County, Nebraska"
749,31103,"Keya Paha County, Nebraska"
3371,31105,"Kimball County, Nebraska"
7140,31107,"Knox County, Nebraska"
266715,31109,"Lancaster County, Nebraska"
33061,31111,"Lincoln County, Nebraska"
915,31113,"Logan County, Nebraska"
603,31115,"Loup County, Nebraska"
389,31117,"McPherson County, Nebraska"
31573,31119,"Madison County, Nebraska"
7311,31121,"Merrick County, Nebraska"
4422,31123,"Morrill County, Nebraska"
3417,31125,"Nance County, Nebraska"
6608,31127,"Nemaha County, Nebraska"
4061,31129,"Nuckolls County, Nebraska"
14785,31131,"Otoe County, Nebraska"
2519,31133,"Pawnee County, Nebraska"
2828,31135,"Perkins County, Nebraska"
8558,31137,"Phelps County, Nebraska"
6821,31139,"Pierce County, Nebraska"
31242,31141,"Platte County, Nebraska"
5002,31143,"Polk County, Nebraska"
10085,31145,"Red Willow County, Nebraska"
7319,31147,"Richardson County, Nebraska"
1331,31149,"Rock County, Nebraska"
12466,31151,"Saline County, Nebraska"
154500,31153,"Sarpy County, Nebraska"
20319,31155,"Saunders County, Nebraska"
32519,31157,"Scotts Bluff County, Nebraska"
16296,31159,"Seward County, Nebraska"
4274,31161,"Sheridan County, Nebraska"
2910,31163,"Sherman County, Nebraska"
1130,31165,"Sioux County, Nebraska"
5700,31167,"Stanton County, Nebraska"
4761,31169,"Thayer County, Nebraska"
613,31171,"Thomas County, Nebraska"
2721,31173,"Thurston County, Nebraska"
4067,31175,"Valley County, Nebraska"
19490,31177,"Washington County, Nebraska"
8867,31179,"Wayne County, Nebraska"
3302,31181,"Webster County, Nebraska"
776,31183,"Wheeler County, Nebraska"
12530,31185,"York County, Nebraska"
