C27001A_006E,C27001A_006M,C27001A_007E,C27001A_007M,GEO_ID,NAME
15015,347,1528,268,USA-31001,"Adams County, Nebraska"
2909,90,313,86,USA-31003,"Antelope County, Nebraska"
160,31,32,18,USA-31005,"Arthur County, Nebraska"
344,51,26,21,USA-31007,"Banner County, Nebraska"
212,38,26,15,USA-31009,"Blaine County, Nebraska"
2509,70,248,69,USA-31011,"Boone County, Nebraska"
5148,166,552,138,USA-31013,"Box Butte County, Nebraska"
759,49,146,36,USA-31015,"Boyd County, Nebraska"
1318,119,230,108,USA-31017,"Brown County, Nebraska"
24235,356,2794,326,USA-31019,"Buffalo County, Nebraska"
2843,91,417,81,USA-31021,"Burt County, Nebraska"
3821,88,352,90,USA-31023,"Butler County, Nebraska"
12930,196,1194,205,USA-31025,"Cass County, Nebraska"
4003,69,307,64,USA-31027,"Cedar County, Nebraska"
1807,148,236,112,USA-31029,"Chase County, Nebraska"
2662,105,169,61,USA-31031,"Cherry County, Nebraska"
4655,135,512,122,USA-31033,"Cheyenne County, Nebraska"
2839,79,436,72,USA-31035,"Clay County, Nebraska"
4309,350,994,338,USA-31037,"Colfax County, Nebraska"
3987,162,491,122,USA-31039,"Cuming County, Nebraska"
5068,102,534,110,USA-31041,"Custer County, Nebraska"
6344,567,1227,348,USA-31043,"Dakota County, Nebraska"
4019,238,601,174,USA-31045,"Dawes County, Nebraska"
9875,347,1496,263,USA-31047,"Dawson County, Nebraska"
744,77,228,65,USA-31049,"Deuel County, Nebraska"
2603,109,232,54,USA-31051,"Dixon County, Nebraska"
16491,429,2848,455,USA-31053,"Dodge County, Nebraska"
238422,1687,30153,1604,USA-31055,"Douglas County, Nebraska"
795,88,197,97,USA-31057,"Dundy County, Nebraska"
2823,63,204,56,USA-31059,"Fillmore County, Nebraska"
1421,56,122,44,USA-31061,"Franklin County, Nebraska"
1156,70,185,48,USA-31063,"Frontier County, Nebraska"
2035,97,327,96,USA-31065,"Furnas County, Nebraska"
10605,206,977,189,USA-31067,"Gage County, Nebraska"
815,98,121,41,USA-31069,"Garden County, Nebraska"
969,84,40,22,USA-31071,"Garfield County, Nebraska"
1013,74,82,37,USA-31073,"Gosper County, Nebraska"
320,40,53,28,USA-31075,"Grant County, Nebraska"
1025,43,118,39,USA-31077,"Greeley County, Nebraska"
24594,673,4338,564,USA-31079,"Hall County, Nebraska"
4530,126,337,115,USA-31081,"Hamilton County, Nebraska"
1471,88,178,51,USA-31083,"Harlan County, Nebraska"
443,62,74,31,USA-31085,"Hayes County, Nebraska"
1170,69,247,62,USA-31087,"Hitchcock County, Nebraska"
4760,137,469,124,USA-31089,"Holt County, Nebraska"
286,57,37,29,USA-31091,"Hooker County, Nebraska"
3088,112,278,109,USA-31093,"Howard County, Nebraska"
3409,112,322,87,USA-31095,"Jefferson County, Nebraska"
1848,123,205,64,USA-31097,"Johnson County, Nebraska"
3148,99,313,90,USA-31099,"Kearney County, Nebraska"
3578,127,480,114,USA-31101,"Keith County, Nebraska"
317,63,34,23,USA-31103,"Keya Paha County, Nebraska"
1453,95,344,87,USA-31105,"Kimball County, Nebraska"
3490,85,234,69,USA-31107,"Knox County, Nebraska"
150983,1156,14440,993,USA-31109,"Lancaster County, Nebraska"
16142,402,2539,389,USA-31111,"Lincoln County, Nebraska"
404,54,54,24,USA-31113,"Logan County, Nebraska"
338,48,26,14,USA-31115,"Loup County, Nebraska"
186,42,17,18,USA-31117,"McPherson County, Nebraska"
16515,379,2051,336,USA-31119,"Madison County, Nebraska"
3626,122,525,134,USA-31121,"Merrick County, Nebraska"
2052,122,367,99,USA-31123,"Morrill County, Nebraska"
1814,70,160,57,USA-31125,"Nance County, Nebraska"
3351,143,387,111,USA-31127,"Nemaha County, Nebraska"
1910,84,180,57,USA-31129,"Nuckolls County, Nebraska"
7724,163,625,180,USA-31131,"Otoe County, Nebraska"
1021,75,247,79,USA-31133,"Pawnee County, Nebraska"
1362,48,112,38,USA-31135,"Perkins County, Nebraska"
4561,83,190,65,USA-31137,"Phelps County, Nebraska"
3511,85,279,82,USA-31139,"Pierce County, Nebraska"
15196,367,2036,344,USA-31141,"Platte County, Nebraska"
2295,96,425,96,USA-31143,"Polk County, Nebraska"
4927,209,692,214,USA-31145,"Red Willow County, Nebraska"
3301,157,574,149,USA-31147,"Richardson County, Nebraska"
625,49,109,37,USA-31149,"Rock County, Nebraska"
6216,365,1134,376,USA-31151,"Saline County, Nebraska"
86153,780,5884,631,USA-31153,"Sarpy County, Nebraska"
10650,172,746,157,USA-31155,"Saunders County, Nebraska"
15741,353,2468,318,USA-31157,"Scotts Bluff County, Nebraska"
8831,151,601,120,USA-31159,"Seward County, Nebraska"
1865,97,359,91,USA-31161,"Sheridan County, Nebraska"
1294,60,229,55,USA-31163,"Sherman County, Nebraska"
572,74,78,36,USA-31165,"Sioux County, Nebraska"
3050,81,205,68,USA-31167,"Stanton County, Nebraska"
2313,49,207,43,USA-31169,"Thayer County, Nebraska"
316,50,15,13,USA-31171,"Thomas County, Nebraska"
1343,45,153,33,USA-31173,"Thurston County, Nebraska"
1813,108,265,77,USA-31175,"Valley County, Nebraska"
10290,214,889,203,USA-31177,"Washington County, Nebraska"
5037,149,282,88,USA-31179,"Wayne County, Nebraska"
1604,69,217,58,USA-31181,"Webster County, Nebraska"
369,66,65,35,USA-31183,"Wheeler County, Nebraska"
6343,182,602,122,USA-31185,"York County, Nebraska"
